,countyfip,population,above_65,percent_above_65,change_pop,change_old_pop,M_population,M_above_65,M_percent_above_65,M_diff
1839,12001,256581,31895,0.12430772348693005,-79,1333.9287513118513,256502,33228.928751311854,0.12954647040300604,0.005238746916075995
1864,12029,16084,3495,0.2172966923650833,162,4.658938153433204,16246,3499.658938153433,0.2154166526008515,-0.0018800397642318167
1895,12023,68198,11721,0.1718672101821168,2056,340.2848034098057,70254,12061.284803409806,0.17168111144432782,-0.00018609873778896446
1922,12005,178361,28723,0.1610385678483525,-3528,-716.2602801570107,174833,28006.73971984299,0.16019138103128694,-0.0008471868170655539
2016,12075,39707,8964,0.2257536454529428,386,-40.50187189985693,40093,8923.498128100144,0.2225699780036451,-0.0031836674492976835
2136,12031,900890,114609,0.12721752933210492,-1967,1121.829002186111,898923,115730.82900218612,0.12874387350438926,0.0015263441722843385
2139,12083,340341,94663,0.2781416285431376,6862,-202.6493583321138,347203,94460.35064166789,0.27206087113782973,-0.0060807574053078906
2145,12041,17033,3333,0.19567897610520754,334,56.18857760836669,17367,3389.188577608367,0.19515106682837374,-0.000527909276833799
2178,12049,27302,3958,0.1449710643908871,-1672,-198.9558932858743,25630,3759.0441067141255,0.1466657864500244,0.001694722059137288
2192,12053,176797,48524,0.27446167072970695,4814,48.65140372089703,181611,48572.6514037209,0.2674543469488131,-0.007007323780893859
2202,12055,98862,33506,0.3389168740264207,1810,-426.11121144707744,100672,33079.888788552926,0.3285907579918242,-0.010326116034596489
2241,12065,14082,2833,0.20117880982814942,463,25.271568894305723,14545,2858.271568894306,0.1965123113712139,-0.004666498456935536
2295,12027,35134,6819,0.19408550122388568,1085,239.64966951994276,36219,7058.649669519943,0.19488803306330774,0.0008025318394220549
2370,12085,153592,45088,0.2935569560914631,3353,-371.2378769352234,156945,44716.76212306478,0.2849199536338512,-0.008637002457611898
2398,12125,15159,1933,0.1275150075862524,1838,400.90211992589116,16997,2333.9021199258914,0.13731259162945764,0.009797584043205243
2422,12089,77187,15357,0.19895837381942555,688,-129.13293100100447,77875,15227.867068998996,0.1955424342728603,-0.0034159395465652442
2458,12071,680970,179332,0.2633478714187115,13996,-435.4112980485367,694966,178896.58870195146,0.257417756698819,-0.005930114719892521
