,placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
114,225-223@5q9-bnh-nwk,,La Cocina de Paula,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.711468,-105.03074,3325 W Alameda Ave,Denver,CO,80219,US,13039344133.0,,"Mexican Food,Latin American Food",,2020-01,2019-07,POLYGON
115,zzw-228@5z5-qf3-r8v,,Copa Vida,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,32.715465,-117.168393,655 W Broadway,San Diego,CA,92101,US,16197951363.0,,Coffee Shop,,,2019-07,POLYGON
116,zzz-222@5yw-63g-r49,,Horizon View Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,39.443432,-119.737131,9675 Wilbur May Pkwy,Reno,NV,89521,US,,,,,,2019-07,POLYGON
117,zzw-222@63j-xsb-94v,,Express Tan,,,Personal Care Services,Other Personal Care Services,812199.0,40.055484,-83.067061,4874 Reed Rd,Columbus,OH,43220,US,16144428267.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [[""10:00"", ""15:00""]] }",,,2020-01,2019-07,POLYGON
118,222-222@5p2-2my-syv,,Extended Stay America,SG_BRAND_797d3ae0369e285ee3daadc1900f20c2,Extended Stay America,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,41.267377,-96.053331,9006 Burt St,Omaha,NE,68114,US,14023439000.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,2019-12,POLYGON
119,zzw-222@5sb-d48-bx5,,M and I Motors,,,Automobile Dealers,Used Car Dealers,441120.0,42.202775,-87.835296,2772 Skokie Valley Rd,Highland Park,IL,60035,US,18472669200.0,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
120,22g-222@5x4-48j-4jv,,Wedgwood Acupuncture & Botanical Medicine,,,Offices of Other Health Practitioners,Offices of All Other Miscellaneous Health Practitioners,621399.0,47.687622,-122.290304,8034 35th Ave NE,Seattle,WA,98115,US,12065251328.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
121,22j-222@627-s4z-y35,,Salon Coco Latta,,,Personal Care Services,Beauty Salons,812112.0,40.865836,-74.074768,163 Madison Ave,Hasbrouck Heights,NJ,7604,US,12017271211.0,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""15:00""]], ""Wed"": [[""10:00"", ""15:00""]], ""Thu"": [[""10:00"", ""19:30""]], ""Fri"": [[""10:00"", ""19:30""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
122,zzw-222@63g-432-bx5,,"FNB Bank, N.A.",SG_BRAND_f541bcb6ec62de093416a7c8de510e84,"FNB Bank, N.A.",Depository Credit Intermediation,Commercial Banking,522110.0,36.168656,-80.151674,3000 Old Hollow Rd,Walkertown,NC,27051,US,13365953488.0,,,,2021-03,2019-07,POLYGON
123,222-222@5pw-nt7-fvf,,Tyson Motor Corporation,"SG_BRAND_f0049acd3951499d61b0f23667fa9bbc,SG_BRAND_6de27f14a548638fb353767a3eb4bba8,SG_BRAND_a79fa98d177070d8,SG_BRAND_ee92098e8d8fb93a9ac3870c3e94e201","Dodge,Chrysler,Ram,Jeep",Automobile Dealers,New Car Dealers,441110.0,41.51996,-88.192503,1 SW Frontage Rd,Shorewood,IL,60404,US,18157415530.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
